Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Age,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition
*GOBLIN,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,6/30/2014,K14-010297,LOBBY,A310193,0.13,8/15/2014,9/18/2014,34,STRAY,ADOPTION,HEALTHY
DILLON,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,10/22/2010,K14-010306,CA02,A310203,3.82,8/15/2014,10/22/2014,68,TRANSFER,ADOPTION,HEALTHY
*ORION,CAT,DOMESTIC SH,BLK TABBY,Neutered,SMALL,7/31/2014,K14-010298,CA02,A310194,0.04,8/15/2014,10/15/2014,61,TRANSFER,ADOPTION,HEALTHY
*CELESTE,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,7/31/2014,K14-010302,CA03,A310198,0.04,8/15/2014,10/15/2014,61,TRANSFER,ADOPTION,HEALTHY
*MIDNIGHT,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,6/15/2014,K14-010309,CA02,A310206,0.17,8/15/2014,8/26/2014,11,STRAY,TRANSFER,HEALTHY
ESPONGA,DOG,POODLE MIN/MIX,WHITE,Female,SMALL,8/16/2009,K14-010320,DQ114,A310238,5.00,8/16/2014,9/3/2014,18,OWNER SURRENDER,EUTHANIZE,HEALTHY
,DOG,CHIHUAHUA SH,BLACK/WHITE,Female,TOY,8/16/2003,K14-010325,CA03,A310247,11.01,8/16/2014,8/25/2014,9,STRAY,EUTHANIZE,UNTREATABLE
,DOG,PIT BULL,WHITE/BLACK,Male,LARGE,8/25/2009,K14-010324,DS92,A310246,4.98,8/16/2014,8/27/2014,11,TRANSFER,EUTHANIZE,UNTREATABLE
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,,K14-010315,CS06,A310235,114.70,8/16/2014,8/19/2014,3,STRAY,TRANSFER,TREATABLE/MANAGEABLE
HEIDI,DOG,LABRADOR RETR,YELLOW,Spayed,LARGE,4/5/2008,K14-010317,DS59,A275891,6.37,8/16/2014,8/16/2014,0,STRAY,RETURN TO OWNER,HEALTHY
PERCEPHONY,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,7/25/2014,K14-010323,LOBBY,A310245,0.06,8/16/2014,10/18/2014,63,STRAY,ADOPTION,HEALTHY
BELLE,DOG,MALTESE/MIX,WHITE,Spayed,TOY,8/19/2001,K14-010326,DS95,A310265,13.00,8/16/2014,8/19/2014,3,STRAY,RETURN TO OWNER,HEALTHY
FREYA,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,7/25/2014,K14-010322,LOBBY,A310243,0.06,8/16/2014,10/17/2014,62,STRAY,ADOPTION,HEALTHY
MOSHEP,DOG,LABRADOR RETR/GERM SHEPHERD,BLACK/BR BRINDLE,Neutered,LARGE,4/27/2014,K14-010318,DS59,A309673,0.30,8/16/2014,8/16/2014,0,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,,K14-010319,CS06,A310237,114.70,8/16/2014,8/21/2014,5,STRAY,RETURN TO OWNER,HEALTHY
*BRUTUS,DOG,GERM SHEPHERD,BLACK/TAN,Neutered,MED,8/16/2011,K14-010311,DA33,A310218,3.00,8/16/2014,9/19/2014,34,TRANSFER,ADOPTION,HEALTHY
*MAGGIE,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,8/29/2012,K14-010314,CS05,A310234,1.96,8/16/2014,9/9/2014,24,STRAY,ADOPTION,TREATABLE/REHAB
,CAT,DOMESTIC SH,BRN TABBY,Neutered,MED,,K14-010316,CS06,A310236,114.70,8/16/2014,8/19/2014,3,STRAY,TRANSFER,TREATABLE/MANAGEABLE
LUCY,DOG,PIT BULL/LABRADOR RETR,BL BRINDLE,Spayed,MED,1/15/2011,K14-010327,DS73,A287908,3.59,8/17/2014,8/22/2014,5,CONFISCATE,RETURN TO OWNER,HEALTHY
,DOG,PIT BULL/MIX,BR BRINDLE/WHITE,Female,MED,,K14-010337,DQ117,A310280,114.71,8/18/2014,9/10/2014,23,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
APPOLLOMI,DOG,GERM SHEPHERD,TAN/BLACK,Female,LARGE,6/17/2012,K14-010342,DS64,A290889,2.17,8/18/2014,9/22/2014,35,CONFISCATE,EUTHANIZE,UNTREATABLE
HERACLES,DOG,GERM SHEPHERD,TAN/BLACK,Female,LARGE,6/7/2012,K14-010341,DS93,A290890,2.20,8/18/2014,9/22/2014,35,CONFISCATE,EUTHANIZE,UNTREATABLE
IAN,DOG,CAVALIER SPAN/MIX,WHITE/RED,Neutered,SMALL,8/27/2009,K14-010330,RECEIVING,A310283,4.98,8/18/2014,3/18/2015,212,CONFISCATE,ADOPTION,TREATABLE/REHAB
DELIAH,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,8/20/2006,K14-010348,CA03,A310296,8.00,8/18/2014,8/20/2014,2,CONFISCATE,RETURN TO OWNER,HEALTHY
CONRAD,DOG,TR WALKER HOUND/PIT BULL,BLACK/WHITE,Neutered,SMALL,4/28/2014,K14-010336,DA16,A310279,0.31,8/18/2014,8/30/2014,12,OWNER SURRENDER,ADOPTION,HEALTHY
*JIMMY,DOG,CHIHUAHUA SH,WHITE/BROWN,Neutered,SMALL,9/2/2012,K14-010334,DA04,A310285,1.96,8/18/2014,10/24/2014,67,OWNER SURRENDER,ADOPTION,HEALTHY
*SAMMY,DOG,CHIHUAHUA SH,BROWN/BROWN,Neutered,SMALL,8/28/2013,K14-010340,DA48,A310288,0.97,8/18/2014,9/19/2014,32,OWNER SURRENDER,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,8/18/2013,K14-010346,CS06,A310294,1.00,8/18/2014,8/21/2014,3,STRAY,RETURN TO OWNER,HEALTHY
*NILLA,DOG,CHIHUAHUA SH,BROWN/WHITE,Spayed,SMALL,9/2/2011,K14-010338,DA10,A310286,2.96,8/18/2014,9/11/2014,24,OWNER SURRENDER,TRANSFER,HEALTHY
*ANNIE,DOG,PIT BULL/MIX,BLUE/WHITE,Spayed,MED,4/10/2013,K14-010332,MISSING,A310277,1.36,8/18/2014,2/28/2015,194,CONFISCATE,ADOPTION,TREATABLE/REHAB
BROOKLYN,DOG,PIT BULL/MIX,BLUE/WHITE,Spayed,MED,9/30/2013,K14-010335,DA27,A310278,0.88,8/18/2014,10/4/2014,47,OWNER SURRENDER,ADOPTION,HEALTHY
TIMMY,DOG,CHIHUAHUA SH,TAN,Neutered,SMALL,9/13/2013,K14-010331,DA09,A310282,0.93,8/18/2014,9/16/2014,29,OWNER SURRENDER,ADOPTION,HEALTHY
LOLA,DOG,PIT BULL/MIX,BL BRINDLE/WHITE,Spayed,MED,3/22/2012,K14-010345,DS52,A349838,2.41,8/18/2014,9/2/2014,15,STRAY,RETURN TO OWNER,HEALTHY
*COOKIE,DOG,CHIHUAHUA SH,BROWN/BROWN,Spayed,SMALL,9/2/2012,K14-010339,DA10,A310287,1.96,8/18/2014,9/11/2014,24,OWNER SURRENDER,TRANSFER,HEALTHY
BLU,DOG,GREAT PYRENEES,WHITE,Neutered,LARGE,12/3/2013,K14-010329,TX,A310281,0.71,8/18/2014,10/16/2014,59,CONFISCATE,ADOPTION,TREATABLE/REHAB
KODIAK,DOG,GREAT PYRENEES,WHITE,Neutered,LARGE,12/3/2013,K14-010333,DA07,A310284,0.71,8/18/2014,9/24/2014,37,CONFISCATE,ADOPTION,TREATABLE/REHAB
,CAT,DOMESTIC SH,GRAY TABBY,Female,SMALL,9/3/2004,K14-010373,SMM,A310342,9.96,8/19/2014,9/3/2014,15,STRAY,EUTHANIZE,UNTREATABLE
*CLINT,DOG,CATAHOULA/BORDER COLLIE,BRN MERLE,Neutered,PUPPY,5/19/2014,K14-010359,DA37,A310320,0.25,8/19/2014,8/23/2014,4,OWNER SURRENDER,ADOPTION,HEALTHY
TOMMY,CAT,DOMESTIC LH,BRN TABBY,Neutered,KITTN,6/18/2014,K14-010378,LOBBY,A310357,0.17,8/19/2014,9/5/2014,17,STRAY,ADOPTION,HEALTHY
TED,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,2/19/2014,K14-010356,CA03,A310314,0.50,8/19/2014,8/21/2014,2,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,SMALL,,K14-010364,CS06,A310327,114.71,8/19/2014,8/22/2014,3,STRAY,TRANSFER,HEALTHY
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Spayed,SMALL,,K14-010365,CS06,A310328,114.71,8/19/2014,8/22/2014,3,STRAY,TRANSFER,HEALTHY
*ARIEL,CAT,DOMESTIC LH,BLACK,Spayed,KITTN,4/19/2014,K14-010377,WESTFARM,A310353,0.33,8/19/2014,10/1/2014,43,STRAY,ADOPTION,HEALTHY
*VIZZINI,DOG,CHIHUAHUA SH,BLACK/WHITE,Neutered,TOY,9/3/2010,K14-010372,DS92,A310339,3.96,8/19/2014,9/23/2014,35,STRAY,TRANSFER,HEALTHY
FRATELLO,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,6/19/2014,K14-010370,CA02,A310337,0.17,8/19/2014,9/13/2014,25,STRAY,ADOPTION,TREATABLE/REHAB
*BARNEY,DOG,CATAHOULA/BORDER COLLIE,BRN MERLE,Neutered,PUPPY,5/19/2014,K14-010361,DA38,A310322,0.25,8/19/2014,8/23/2014,4,OWNER SURRENDER,ADOPTION,HEALTHY
LOUIE,DOG,CATAHOULA/BORDER COLLIE,BLUE MERLE,Neutered,LARGE,5/19/2014,K14-010358,DA37,A310319,0.25,8/19/2014,8/26/2014,7,OWNER SURRENDER,ADOPTION,HEALTHY
*SAL,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,6/19/2014,K14-010371,CA02,A310338,0.17,8/19/2014,9/12/2014,24,STRAY,ADOPTION,TREATABLE/REHAB
*DYLAN,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,6/19/2014,K14-010369,CA02,A310336,0.17,8/19/2014,9/9/2014,21,STRAY,ADOPTION,TREATABLE/REHAB
CHARLIE,DOG,CATAHOULA/BORDER COLLIE,BLACK/WHITE,Neutered,PUPPY,5/19/2014,K14-010362,DA45,A310323,0.25,8/19/2014,8/27/2014,8,OWNER SURRENDER,ADOPTION,HEALTHY
BUDDY,DOG,PIT BULL,BLUE/WHITE,Neutered,LARGE,11/25/2005,K14-010350,DS83,A310301,8.74,8/19/2014,8/19/2014,0,STRAY,RETURN TO OWNER,HEALTHY
BUSTER,DOG,BLACK/TAN HOUND/MIX,BLACK/TRICOLOR,Male,LARGE,8/22/2013,K14-010374,DA21,A310345,0.99,8/19/2014,8/22/2014,3,TRANSFER,RETURN TO OWNER,HEALTHY
KENCIL,DOG,CHIHUAHUA SH,TAN/WHITE,Neutered,TOY,9/18/2012,K14-010375,DA08,A310346,1.92,8/19/2014,9/27/2014,39,TRANSFER,ADOPTION,HEALTHY
*ABBY,DOG,BORDER COLLIE/MIX,BLACK/WHITE,Spayed,MED,12/2/2013,K14-010354,DA13,A310311,0.71,8/19/2014,9/5/2014,17,STRAY,ADOPTION,HEALTHY
SCARLETT,DOG,CATAHOULA/BORDER COLLIE,TRICOLOR,Spayed,PUPPY,5/19/2014,K14-010363,DA45,A310324,0.25,8/19/2014,8/27/2014,8,OWNER SURRENDER,ADOPTION,HEALTHY
*ERIC,CAT,DOMESTIC LH,BLACK,Neutered,KITTN,4/19/2014,K14-010376,WESTFARM,A310350,0.33,8/19/2014,9/25/2014,37,STRAY,ADOPTION,HEALTHY
JAX,DOG,PIT BULL/MIX,BLACK/WHITE,Neutered,LARGE,9/18/2010,K14-010349,DA20,A310300,3.92,8/19/2014,10/14/2014,56,STRAY,ADOPTION,HEALTHY
*MIKE,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,6/19/2014,K14-010368,CA02,A310335,0.17,8/19/2014,9/4/2014,16,STRAY,ADOPTION,TREATABLE/MANAGEABLE
*CHRISTIAN,DOG,CATAHOULA/BORDER COLLIE,BLACK/WHITE,Neutered,PUPPY,5/19/2014,K14-010360,DA38,A310321,0.25,8/19/2014,8/23/2014,4,OWNER SURRENDER,ADOPTION,HEALTHY
SCOOBY,DOG,SCHNAUZER MIN/MIX,BLACK/TAN,Neutered,PUPPY,8/19/2014,K14-010382,DA47,A310363,0.00,8/20/2014,10/31/2014,72,STRAY,ADOPTION,HEALTHY
DOZER,DOG,CHIHUAHUA SH/MIX,YELLOW,Male,SMALL,4/20/2014,K14-010398,DS95,A310391,0.33,8/20/2014,8/20/2014,0,STRAY,RETURN TO OWNER,HEALTHY
PIXIE,DOG,PUG,BLACK,Spayed,SMALL,1/1/1999,K14-010403,DS68,A309549,15.64,8/20/2014,8/21/2014,1,STRAY,RETURN TO OWNER,HEALTHY
MADGE,DOG,ANATOL SHEPHERD,WHITE,Female,X-LRG,,K14-010386,TRUCK,A330582,114.72,8/20/2014,8/20/2014,0,STRAY,RETURN TO OWNER,HEALTHY
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,,K14-010401,CS06,A368116,114.72,8/20/2014,8/26/2014,6,STRAY,TRANSFER,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,8/20/2011,K14-010396,CA03,A310389,3.00,8/20/2014,8/22/2014,2,STRAY,TRANSFER,HEALTHY
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,,K14-010400,CS06,A310393,114.72,8/20/2014,8/26/2014,6,STRAY,TRANSFER,HEALTHY
BABY,DOG,SCHNAUZER MIN/MIX,BLACK/TAN,Spayed,PUPPY,8/19/2014,K14-010383,DA47,A310364,0.00,8/20/2014,10/31/2014,72,STRAY,ADOPTION,HEALTHY
HUCK,DOG,GREAT PYRENEES,WHITE,Neutered,X-LRG,,K14-010385,TRUCK,A310366,114.72,8/20/2014,8/20/2014,0,STRAY,RETURN TO OWNER,HEALTHY
SASHA,DOG,SCHNAUZER MIN/MIX,TAN/BLACK,Spayed,PUPPY,8/19/2014,K14-010384,DA47,A310365,0.00,8/20/2014,10/31/2014,72,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,1/11/2013,K14-010397,CS06,A310390,1.61,8/20/2014,8/22/2014,2,STRAY,RETURN TO OWNER,HEALTHY
*BROWNIE,DOG,CHIHUAHUA SH/MIX,RED/WHITE,Neutered,TOY,9/2/2013,K14-010413,DA05,A310462,0.97,8/21/2014,9/3/2014,13,STRAY,ADOPTION,HEALTHY
*HECTOR,DOG,CHIHUAHUA SH/MIX,BLACK/TAN,Neutered,SMALL,9/5/2011,K14-010409,DA46,A310455,2.96,8/21/2014,9/11/2014,21,TRANSFER,TRANSFER,HEALTHY
CHEENA,DOG,MALTESE/MIX,WHITE,Female,SMALL,,K14-010408,TRUCK,A310454,114.72,8/21/2014,8/21/2014,0,STRAY,RETURN TO OWNER,HEALTHY
DAKOTA,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,12/1/2006,K14-010415,DI098,A204623,7.73,8/21/2014,9/4/2014,14,OWNER SURRENDER,TRANSFER,HEALTHY
ROXY,DOG,LABRADOR RETR,BLACK,Female,LARGE,9/18/2002,K14-010412,TRUCK,A228448,11.93,8/21/2014,8/21/2014,0,STRAY,RETURN TO OWNER,HEALTHY
*CLOVER,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,9/2/2011,K14-010420,CS04,A310486,2.97,8/21/2014,10/24/2014,64,QUARANTINE,ADOPTION,HEALTHY
*RUFUS,DOG,PIT BULL/MIX,RED/WHITE,Neutered,LARGE,9/9/2013,K14-010416,DA38,A310482,0.95,8/21/2014,9/19/2014,29,STRAY,ADOPTION,HEALTHY
,OTHER,SHEEP,BROWN,Male,LARGE,,K14-010414,YARD,A310467,114.72,8/21/2014,8/21/2014,0,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC LH,BLACK/WHITE,Neutered,SMALL,,K14-010435,SMM,A310536,114.72,8/22/2014,8/23/2014,1,STRAY,EUTHANIZE,UNTREATABLE
,DOG,PIT BULL,TAN,Male,MED,,K14-010421,DS70,A310491,114.72,8/22/2014,9/10/2014,19,STRAY,EUTHANIZE,UNTREATABLE
*JOLEEN,CAT,DOMESTIC MH,BRN TABBY,Spayed,KITTN,6/3/2014,K14-010437,WESTFARM,A310538,0.22,8/22/2014,9/5/2014,14,OWNER SURRENDER,ADOPTION,HEALTHY
*JOEY,CAT,DOMESTIC MH,BLACK,Neutered,KITTN,6/3/2014,K14-010436,WESTFARM,A310537,0.22,8/22/2014,9/2/2014,11,OWNER SURRENDER,ADOPTION,HEALTHY
*CELESTE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,5/23/2014,K14-010431,LOBBY,A310511,0.25,8/22/2014,9/2/2014,11,OWNER SURRENDER,ADOPTION,HEALTHY
*JEFFREY,DOG,CHIHUAHUA SH,BLACK,Neutered,SMALL,8/22/2013,K14-010428,DA45,A310504,1.00,8/22/2014,9/4/2014,13,STRAY,TRANSFER,HEALTHY
*STACIA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,5/23/2014,K14-010430,LOBBY,A310510,0.25,8/22/2014,8/30/2014,8,OWNER SURRENDER,ADOPTION,HEALTHY
COOKIE,DOG,YORKSHIRE TERR/MIX,WHITE/BLACK,Spayed,SMALL,2/4/2010,K14-010432,TRUCK,A252099,4.55,8/22/2014,8/22/2014,0,STRAY,RETURN TO OWNER,HEALTHY
CHINGAS PIG,DOG,CHIHUAHUA SH,CREAM,Male,SMALL,8/22/2013,K14-010434,DS61,A310515,1.00,8/22/2014,9/6/2014,15,CONFISCATE,RETURN TO OWNER,HEALTHY
MYRON,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,5/23/2014,K14-010429,LOBBY,A310508,0.25,8/22/2014,8/29/2014,7,OWNER SURRENDER,ADOPTION,HEALTHY
*JOAN,DOG,CHIHUAHUA SH,BLACK/TAN,Spayed,TOY,8/22/2008,K14-010426,DA44,A310495,6.00,8/22/2014,9/9/2014,18,TRANSFER,ADOPTION,HEALTHY
,OTHER,MUSCOVY,WHITE/BLACK,Unknown,SMALL,,K14-010427,LS03,A310505,114.72,8/22/2014,9/9/2014,18,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,,K14-010447,TX,A310626,114.72,8/23/2014,8/25/2014,2,STRAY,EUTHANIZE,UNTREATABLE
*JAKE,DOG,CHIHUAHUA SH,BLACK,Neutered,TOY,8/23/2011,K14-010441,DA41,A310549,3.00,8/23/2014,9/9/2014,17,TRANSFER,ADOPTION,HEALTHY
JADA,DOG,PIT BULL,BROWN,Spayed,PUPPY,2/10/2014,K14-010446,DA43,A310592,0.53,8/23/2014,10/2/2014,40,STRAY,ADOPTION,HEALTHY
KIT,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,7/17/2013,K14-010445,CS04,A309142,1.10,8/23/2014,8/23/2014,0,ADOPTION RETURN,ADOPTION,HEALTHY
FRIDA,DOG,FRENCH BULLDOG,BLACK/WHITE,Female,SMALL,4/4/2005,K14-010449,DS73,A310638,9.39,8/24/2014,8/26/2014,2,CONFISCATE,RETURN TO OWNER,HEALTHY
PRUDENCE,DOG,FRENCH BULLDOG,BLACK/WHITE,Female,SMALL,4/4/2005,K14-010448,DS73,A310639,9.39,8/24/2014,8/26/2014,2,CONFISCATE,RETURN TO OWNER,HEALTHY
LUCY,DOG,PIT BULL/LABRADOR RETR,BL BRINDLE,Spayed,MED,1/15/2011,K14-010450,DA29,A287908,3.61,8/24/2014,9/19/2014,26,CONFISCATE,RETURN TO OWNER,HEALTHY
MAGNUM,DOG,GERM SHEPHERD/MIX,BROWN/BLACK,Neutered,LARGE,9/15/2012,K14-010451,DA36,A310641,1.94,8/24/2014,9/17/2014,24,STRAY,ADOPTION,HEALTHY
*CAMMI,DOG,PIT BULL/MIX,WHITE/BLACK,Spayed,MED,9/22/2012,K14-010452,DA16,A310642,1.92,8/24/2014,12/6/2014,104,STRAY,ADOPTION,HEALTHY
,DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,8/25/2013,K14-010455,DS60,A310648,1.00,8/25/2014,10/2/2014,38,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
,DOG,GERM SHEPHERD,BROWN,Female,LARGE,3/4/2013,K14-010460,DS84,A310655,1.48,8/25/2014,9/10/2014,16,STRAY,EUTHANIZE,UNTREATABLE
FRANK,CAT,SIAMESE/MIX,LYNX PT,Neutered,SMALL,8/25/1999,K14-010453,SMM,A310645,15.01,8/25/2014,10/7/2014,43,TRANSFER,RETURN TO OWNER,TREATABLE/MANAGEABLE
COYO/KING,DOG,GERM SHEPHERD,BLACK/TAN,Male,MED,3/25/2014,K14-010458,DS67,A310650,0.42,8/25/2014,8/26/2014,1,STRAY,RETURN TO OWNER,HEALTHY
PEANUT,DOG,CHIHUAHUA SH/MIX,BROWN/WHITE,Spayed,TOY,8/25/2009,K14-010454,DS96,A310646,5.00,8/25/2014,8/27/2014,2,TRANSFER,RETURN TO OWNER,TREATABLE/MANAGEABLE
SUZIE,DOG,QUEENSLAND HEEL/MIX,WHITE/BLACK,Spayed,MED,11/5/2009,K14-010459,DS62,A310651,4.81,8/25/2014,8/27/2014,2,TRANSFER,RETURN TO OWNER,HEALTHY
SHERA,DOG,GERM SHEPHERD,BLACK/TAN,Female,MED,3/25/2014,K14-010457,DS67,A310649,0.42,8/25/2014,8/26/2014,1,STRAY,RETURN TO OWNER,HEALTHY
,DOG,GERM SHEPHERD,TAN/WHITE,Male,LARGE,,K14-010491,DQ111,A310706,114.73,8/26/2014,9/4/2014,9,STRAY,EUTHANIZE,HEALTHY
GOTTI,DOG,PIT BULL,BLUE,Male,LARGE,8/26/2011,K14-010466,DS73,A310672,3.00,8/26/2014,8/26/2014,0,TRANSFER,ESCAPED/STOLEN,HEALTHY
,DOG,POODLE MIN,GRAY,Male,SMALL,8/26/2000,K14-010475,DQ108,A310682,14.01,8/26/2014,9/11/2014,16,STRAY,EUTHANIZE,UNTREATABLE
,CAT,SIAMESE,SEAL PT,Spayed,SMALL,3/4/2013,K14-010481,CS06,A310688,1.48,8/26/2014,9/5/2014,10,STRAY,TRANSFER,HEALTHY
CUCA,DOG,POODLE MIN/LHASA APSO,CREAM,Spayed,SMALL,8/26/2010,K14-010486,DA40,A310697,4.00,8/26/2014,9/13/2014,18,STRAY,ADOPTION,HEALTHY
DEMI,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,8/6/2014,K14-010469,WESTFARM,A310677,0.05,8/26/2014,10/27/2014,62,STRAY,ADOPTION,TREATABLE/REHAB
FEENIX,DOG,DOBERMAN PINSCH/MIX,BLACK/TAN,Spayed,LARGE,4/26/2007,K14-010480,DA34,A205364,7.34,8/26/2014,9/26/2014,31,OWNER SURRENDER,TRANSFER,HEALTHY
ULLR,DOG,ALASKAN HUSKY,WHITE/WHITE,Male,LARGE,12/17/2012,K14-010474,DS51,A310681,1.69,8/26/2014,8/26/2014,0,STRAY,RETURN TO OWNER,HEALTHY
CUPID,DOG,SHIH TZU/MIX,BLACK/TAN,Neutered,SMALL,8/26/2013,K14-010478,DA06,A310683,1.00,8/26/2014,9/26/2014,31,STRAY,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,8/24/2014,K14-010485,RECEIVING,A310692,0.01,8/26/2014,8/26/2014,0,STRAY,TRANSFER,TREATABLE/REHAB
MAGGIE,DOG,PARSON RUSS TER,WHITE/BLACK,Spayed,SMALL,5/11/2003,K14-010467,TRUCK,A309707,11.30,8/26/2014,8/26/2014,0,STRAY,RETURN TO OWNER,HEALTHY
*ROSCOE,DOG,AUST KELPIE/MIX,BLACK/TAN,Neutered,LARGE,6/25/2006,K14-010479,DA18,A308308,8.18,8/26/2014,9/27/2014,32,ADOPTION RETURN,ADOPTION,HEALTHY
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,8/24/2014,K14-010482,RECEIVING,A310687,0.01,8/26/2014,8/26/2014,0,STRAY,TRANSFER,HEALTHY
DIXIE,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,8/6/2014,K14-010470,49ERPET,A310674,0.05,8/26/2014,10/28/2014,63,STRAY,ADOPTION,TREATABLE/REHAB
TAR,DOG,BLACK/TAN HOUND,BLACK/TAN,Male,MED,8/26/2010,K14-010468,TRUCK,A310673,4.00,8/26/2014,8/26/2014,0,TRANSFER,RETURN TO OWNER,HEALTHY
*SONNY,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,4/28/2014,K14-010490,CA02,A310705,0.33,8/26/2014,9/13/2014,18,STRAY,ADOPTION,HEALTHY
DANNY BOY,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,8/6/2014,K14-010472,WESTFARM,A310676,0.05,8/26/2014,10/27/2014,62,STRAY,ADOPTION,TREATABLE/REHAB
,CAT,SIAMESE,BLUE PT,Neutered,SMALL,3/4/2013,K14-010483,CS06,A310689,1.48,8/26/2014,9/5/2014,10,STRAY,TRANSFER,HEALTHY
LOLA,DOG,LABRADOR RETR,BLACK,Spayed,MED,10/25/2013,K14-010464,TRUCK,A310001,0.84,8/26/2014,8/26/2014,0,STRAY,RETURN TO OWNER,HEALTHY
*CHER,CAT,DOMESTIC SH,GRAY,Spayed,KITTN,4/28/2014,K14-010489,CA02,A310704,0.33,8/26/2014,9/13/2014,18,STRAY,ADOPTION,HEALTHY
,DOG,AKITA,BLACK/CREAM,Female,LARGE,,K14-010487,DS73,A310699,114.73,8/26/2014,9/6/2014,11,STRAY,TRANSFER,HEALTHY
ZOE,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,8/6/2014,K14-010471,LOBBY,A310675,0.05,8/26/2014,11/1/2014,67,STRAY,ADOPTION,TREATABLE/REHAB
,CAT,DOMESTIC SH,SEAL PT/WHITE,Unknown,KITTN,8/24/2014,K14-010484,RECEIVING,A310690,0.01,8/26/2014,8/26/2014,0,STRAY,TRANSFER,TREATABLE/REHAB
PALOMA,DOG,SIBERIAN HUSKY,RED/WHITE,Female,LARGE,2/11/2013,K14-010506,DQ109,A300239,1.54,8/27/2014,8/28/2014,1,STRAY,RETURN TO OWNER,HEALTHY
ECHO,DOG,BEAGLE/MIX,BLACK/TAN,Neutered,MED,9/17/2011,K14-010508,DA10,A310741,2.95,8/27/2014,9/25/2014,29,STRAY,TRANSFER,HEALTHY
KIKI,DOG,DALMATIAN,WHITE/BLACK,Female,MED,8/28/1999,K14-010511,DS60,A310748,15.01,8/27/2014,8/28/2014,1,CONFISCATE,RETURN TO OWNER,HEALTHY
MURPHY,DOG,PIT BULL,BLACK/WHITE,Spayed,MED,8/28/2012,K14-010502,DS94,A310734,2.00,8/27/2014,8/30/2014,3,CONFISCATE,RETURN TO OWNER,HEALTHY
*SKYLAR,CAT,DOMESTIC MH,GRAY TABBY/WHITE,Spayed,KITTN,7/23/2014,K14-010497,LOBBY,A310731,0.10,8/27/2014,10/1/2014,35,STRAY,ADOPTION,TREATABLE/REHAB
SAMMY,DOG,POODLE MIN,TAN,Neutered,SMALL,7/17/2013,K14-010501,DI105,A309143,1.11,8/27/2014,9/5/2014,9,ADOPTION RETURN,ADOPTION,HEALTHY
WINKY,CAT,DOMESTIC MH,BLACK,Spayed,KITTN,7/23/2014,K14-010498,LOBBY,A310732,0.10,8/27/2014,10/1/2014,35,STRAY,ADOPTION,TREATABLE/REHAB
